seed,model,encoding,ansatz,n_parameters,train_accuracy,test_accuracy,train_loss,test_loss
0,h_rz/simple,h_rz,simple,16,0.8266666666666667,0.8,0.43324526814213193,0.4177789619121294
0,ry/simple,ry,simple,16,0.9733333333333334,1.0,0.1427219470826504,0.11356501760047079
0,ry_rz/strong,ry_rz,strong,24,0.96,0.96,0.3612035102012268,0.33965839398771985
0,logistic/regression,logistic,regression,,1.0,1.0,0.1278669037231943,0.12328403966224792
1,h_rz/simple,h_rz,simple,16,0.84,0.84,0.3821534661177972,0.4415481364623964
1,ry/simple,ry,simple,16,0.9866666666666667,1.0,0.12605305659617463,0.15302230054325083
1,ry_rz/strong,ry_rz,strong,24,0.9733333333333334,0.96,0.3829650936892421,0.40500505585751556
1,logistic/regression,logistic,regression,,1.0,1.0,0.12716359610450267,0.11409815483057238
2,h_rz/simple,h_rz,simple,16,0.8133333333333334,0.88,0.41834530377219875,0.3694266330803236
2,ry/simple,ry,simple,16,0.9866666666666667,1.0,0.12888028366375412,0.08616878095679731
2,ry_rz/strong,ry_rz,strong,24,0.96,1.0,0.3739959899491679,0.41138908716110556
2,logistic/regression,logistic,regression,,1.0,1.0,0.11850790643708609,0.13910423214186182
3,h_rz/simple,h_rz,simple,16,0.88,0.76,0.35073065718913593,0.493047880969051
3,ry/simple,ry,simple,16,0.9866666666666667,0.96,0.11581799847044075,0.15040714396704874
3,ry_rz/strong,ry_rz,strong,24,0.9733333333333334,0.96,0.36027785133353674,0.39815264868599615
3,logistic/regression,logistic,regression,,1.0,1.0,0.1205205325031541,0.1247012769862652
4,h_rz/simple,h_rz,simple,16,0.84,0.76,0.4330773922726312,0.3958060163785542
4,ry/simple,ry,simple,16,0.9733333333333334,1.0,0.1387999970090701,0.18298533721160315
4,ry_rz/strong,ry_rz,strong,24,0.9733333333333334,0.96,0.3782204290889851,0.40273915227962354
4,logistic/regression,logistic,regression,,1.0,1.0,0.12594345664430528,0.13189344389834512
5,h_rz/simple,h_rz,simple,16,0.8133333333333334,0.8,0.43427647387311064,0.4064741116590526
5,ry/simple,ry,simple,16,1.0,0.96,0.13659086574866708,0.14570589131696124
5,ry_rz/strong,ry_rz,strong,24,0.96,1.0,0.38962962401147117,0.40866587803106497
5,logistic/regression,logistic,regression,,1.0,1.0,0.12377558326319554,0.14225095430250076
6,h_rz/simple,h_rz,simple,16,0.8133333333333334,0.8,0.40259402644140074,0.46837976582566
6,ry/simple,ry,simple,16,0.9866666666666667,1.0,0.11920961615867597,0.17199184758164704
6,ry_rz/strong,ry_rz,strong,24,0.96,0.88,0.43092303753843775,0.4577345797459351
6,logistic/regression,logistic,regression,,1.0,1.0,0.12412796396458378,0.1247856912337288
7,h_rz/simple,h_rz,simple,16,0.8533333333333334,0.88,0.37766419381722344,0.37678517955247637
7,ry/simple,ry,simple,16,0.9866666666666667,1.0,0.1292221170509561,0.10941280401579764
7,ry_rz/strong,ry_rz,strong,24,0.8933333333333333,0.88,0.40345152411273005,0.42671929557577903
7,logistic/regression,logistic,regression,,1.0,1.0,0.12163736963799776,0.12919896541746928
8,h_rz/simple,h_rz,simple,16,0.88,0.72,0.38219211350406646,0.48517389866394894
8,ry/simple,ry,simple,16,0.9866666666666667,1.0,0.1294834687260762,0.16213801061666075
8,ry_rz/strong,ry_rz,strong,24,0.9733333333333334,0.96,0.39169490239864785,0.4283017402171302
8,logistic/regression,logistic,regression,,1.0,1.0,0.12706360947211942,0.11969950973527793
9,h_rz/simple,h_rz,simple,16,0.8133333333333334,0.8,0.4228653472897186,0.4501530476175791
9,ry/simple,ry,simple,16,1.0,1.0,0.13905585605766232,0.15202343633040616
9,ry_rz/strong,ry_rz,strong,24,0.9733333333333334,1.0,0.4038072188735508,0.35926756157659123
9,logistic/regression,logistic,regression,,1.0,1.0,0.12660067999451668,0.11078750426880159
