model,encoding,ansatz,shots,repeat,test_accuracy,test_loss
h_rz/simple,h_rz,simple,100,0,0.8,0.58564047230662
h_rz/simple,h_rz,simple,100,1,0.76,0.5418045870725534
h_rz/simple,h_rz,simple,100,2,0.8,0.5863794451233421
h_rz/simple,h_rz,simple,100,3,0.84,0.5738968321949609
h_rz/simple,h_rz,simple,100,4,0.84,0.529629689599151
h_rz/simple,h_rz,simple,100,5,0.8,0.5572175130646377
h_rz/simple,h_rz,simple,100,6,0.8,0.566271606915584
h_rz/simple,h_rz,simple,100,7,0.84,0.5440102425780615
h_rz/simple,h_rz,simple,100,8,0.84,0.6004794687588112
h_rz/simple,h_rz,simple,100,9,0.8,0.542661470816521
h_rz/simple,h_rz,simple,100,10,0.72,0.5670329581669318
h_rz/simple,h_rz,simple,100,11,0.84,0.5603066816320912
h_rz/simple,h_rz,simple,100,12,0.8,0.5593358712613474
h_rz/simple,h_rz,simple,100,13,0.84,0.5554352406077158
h_rz/simple,h_rz,simple,100,14,0.8,0.5529626787942941
h_rz/simple,h_rz,simple,100,15,0.76,0.5889041058514277
h_rz/simple,h_rz,simple,100,16,0.84,0.5122743704824602
h_rz/simple,h_rz,simple,100,17,0.8,0.5319224599747163
h_rz/simple,h_rz,simple,100,18,0.84,0.5978989547467899
h_rz/simple,h_rz,simple,100,19,0.76,0.6238344205868057
h_rz/simple,h_rz,simple,100,20,0.84,0.5644808411201536
h_rz/simple,h_rz,simple,100,21,0.84,0.5802796727748012
h_rz/simple,h_rz,simple,100,22,0.84,0.57723106999893
h_rz/simple,h_rz,simple,100,23,0.76,0.6271045835959529
h_rz/simple,h_rz,simple,100,24,0.84,0.560524216707089
h_rz/simple,h_rz,simple,100,25,0.84,0.5778991269149915
h_rz/simple,h_rz,simple,100,26,0.76,0.5410275122173016
h_rz/simple,h_rz,simple,100,27,0.76,0.5770948057745275
h_rz/simple,h_rz,simple,100,28,0.84,0.5532597498810113
h_rz/simple,h_rz,simple,100,29,0.8,0.5866740824904132
h_rz/simple,h_rz,simple,1000,0,0.84,0.5714985691013861
h_rz/simple,h_rz,simple,1000,1,0.84,0.5656430278782412
h_rz/simple,h_rz,simple,1000,2,0.84,0.5659791084334177
h_rz/simple,h_rz,simple,1000,3,0.84,0.5460369491772036
h_rz/simple,h_rz,simple,1000,4,0.84,0.5689560752555868
h_rz/simple,h_rz,simple,1000,5,0.84,0.5687859241576976
h_rz/simple,h_rz,simple,1000,6,0.84,0.5664561487985577
h_rz/simple,h_rz,simple,1000,7,0.84,0.5729167564680944
h_rz/simple,h_rz,simple,1000,8,0.84,0.5593001953656848
h_rz/simple,h_rz,simple,1000,9,0.84,0.5652941977072183
h_rz/simple,h_rz,simple,1000,10,0.84,0.5650477491044809
h_rz/simple,h_rz,simple,1000,11,0.84,0.5628119130698155
h_rz/simple,h_rz,simple,1000,12,0.84,0.5556409211287873
h_rz/simple,h_rz,simple,1000,13,0.84,0.5686454220838922
h_rz/simple,h_rz,simple,1000,14,0.84,0.553527797111542
h_rz/simple,h_rz,simple,1000,15,0.84,0.5749813293189241
h_rz/simple,h_rz,simple,1000,16,0.84,0.5633412830653892
h_rz/simple,h_rz,simple,1000,17,0.84,0.5698065992921609
h_rz/simple,h_rz,simple,1000,18,0.84,0.5573750772384207
h_rz/simple,h_rz,simple,1000,19,0.84,0.5609851316862854
h_rz/simple,h_rz,simple,1000,20,0.84,0.5576865202697027
h_rz/simple,h_rz,simple,1000,21,0.84,0.5676505379535589
h_rz/simple,h_rz,simple,1000,22,0.84,0.5588760923684334
h_rz/simple,h_rz,simple,1000,23,0.84,0.5581143228654115
h_rz/simple,h_rz,simple,1000,24,0.84,0.561600402878906
h_rz/simple,h_rz,simple,1000,25,0.84,0.5616833608995636
h_rz/simple,h_rz,simple,1000,26,0.84,0.5507489738591881
h_rz/simple,h_rz,simple,1000,27,0.84,0.5698683223037984
h_rz/simple,h_rz,simple,1000,28,0.84,0.563451579061456
h_rz/simple,h_rz,simple,1000,29,0.84,0.5721191243047271
h_rz/simple,h_rz,simple,10000,0,0.84,0.5632452447751235
h_rz/simple,h_rz,simple,10000,1,0.84,0.561970004224955
h_rz/simple,h_rz,simple,10000,2,0.84,0.5624147517027356
h_rz/simple,h_rz,simple,10000,3,0.84,0.5624836964044438
h_rz/simple,h_rz,simple,10000,4,0.84,0.5602148244933204
h_rz/simple,h_rz,simple,10000,5,0.84,0.5655548662954533
h_rz/simple,h_rz,simple,10000,6,0.84,0.564899234919371
h_rz/simple,h_rz,simple,10000,7,0.84,0.558395658718419
h_rz/simple,h_rz,simple,10000,8,0.84,0.5606955732468303
h_rz/simple,h_rz,simple,10000,9,0.84,0.5597974726110263
h_rz/simple,h_rz,simple,10000,10,0.84,0.5619576402123581
h_rz/simple,h_rz,simple,10000,11,0.84,0.5620106734574716
h_rz/simple,h_rz,simple,10000,12,0.84,0.5615478571766862
h_rz/simple,h_rz,simple,10000,13,0.84,0.5619408337337167
h_rz/simple,h_rz,simple,10000,14,0.84,0.5599438872693796
h_rz/simple,h_rz,simple,10000,15,0.84,0.5608507473971274
h_rz/simple,h_rz,simple,10000,16,0.84,0.5628243515689051
h_rz/simple,h_rz,simple,10000,17,0.84,0.5620727712025113
h_rz/simple,h_rz,simple,10000,18,0.84,0.562907702761411
h_rz/simple,h_rz,simple,10000,19,0.84,0.5615575065373265
h_rz/simple,h_rz,simple,10000,20,0.84,0.5607736403762508
h_rz/simple,h_rz,simple,10000,21,0.84,0.5612349571448376
h_rz/simple,h_rz,simple,10000,22,0.84,0.5593732721371029
h_rz/simple,h_rz,simple,10000,23,0.84,0.5631704950999687
h_rz/simple,h_rz,simple,10000,24,0.84,0.5591829703855857
h_rz/simple,h_rz,simple,10000,25,0.84,0.5611908835612793
h_rz/simple,h_rz,simple,10000,26,0.84,0.557273088740914
h_rz/simple,h_rz,simple,10000,27,0.84,0.5669824003302898
h_rz/simple,h_rz,simple,10000,28,0.84,0.5589676954062034
h_rz/simple,h_rz,simple,10000,29,0.84,0.5615888046395981
ry/simple,ry,simple,100,0,1.0,0.1492520151974129
ry/simple,ry,simple,100,1,0.96,0.16479578831432729
ry/simple,ry,simple,100,2,0.96,0.1602804142195608
ry/simple,ry,simple,100,3,1.0,0.15945505313225572
ry/simple,ry,simple,100,4,1.0,0.16522648636369308
ry/simple,ry,simple,100,5,1.0,0.15761112058743004
ry/simple,ry,simple,100,6,0.96,0.15983096212351908
ry/simple,ry,simple,100,7,1.0,0.1539299095796649
ry/simple,ry,simple,100,8,1.0,0.16369948904430953
ry/simple,ry,simple,100,9,1.0,0.1562781809876358
ry/simple,ry,simple,100,10,1.0,0.15978649871733638
ry/simple,ry,simple,100,11,1.0,0.17461392041586785
ry/simple,ry,simple,100,12,1.0,0.1628067069055022
ry/simple,ry,simple,100,13,1.0,0.17861555473299717
ry/simple,ry,simple,100,14,1.0,0.1553544222706804
ry/simple,ry,simple,100,15,1.0,0.14856619744745905
ry/simple,ry,simple,100,16,1.0,0.16567303692091712
ry/simple,ry,simple,100,17,1.0,0.1587575312739472
ry/simple,ry,simple,100,18,1.0,0.16045729234032996
ry/simple,ry,simple,100,19,1.0,0.16932221879104756
ry/simple,ry,simple,100,20,1.0,0.15387534192110913
ry/simple,ry,simple,100,21,0.96,0.1720452654408441
ry/simple,ry,simple,100,22,1.0,0.16783809102307873
ry/simple,ry,simple,100,23,1.0,0.15658011101317137
ry/simple,ry,simple,100,24,0.96,0.17695418719650277
ry/simple,ry,simple,100,25,1.0,0.1657869997936561
ry/simple,ry,simple,100,26,1.0,0.16750097045153775
ry/simple,ry,simple,100,27,1.0,0.15493108830350416
ry/simple,ry,simple,100,28,1.0,0.1560377934694869
ry/simple,ry,simple,100,29,0.96,0.16212067091340474
ry/simple,ry,simple,1000,0,1.0,0.15618395307929747
ry/simple,ry,simple,1000,1,1.0,0.15696571247236424
ry/simple,ry,simple,1000,2,1.0,0.15988289288117746
ry/simple,ry,simple,1000,3,1.0,0.15666509920757007
ry/simple,ry,simple,1000,4,1.0,0.1582947627875247
ry/simple,ry,simple,1000,5,1.0,0.1615101140233265
ry/simple,ry,simple,1000,6,1.0,0.16176466801933057
ry/simple,ry,simple,1000,7,1.0,0.15669700216034382
ry/simple,ry,simple,1000,8,1.0,0.16473576397776057
ry/simple,ry,simple,1000,9,1.0,0.16083760039236059
ry/simple,ry,simple,1000,10,1.0,0.16312470551210329
ry/simple,ry,simple,1000,11,1.0,0.15959590878290844
ry/simple,ry,simple,1000,12,1.0,0.1625476272555372
ry/simple,ry,simple,1000,13,1.0,0.15371672932462097
ry/simple,ry,simple,1000,14,1.0,0.15987612206317528
ry/simple,ry,simple,1000,15,1.0,0.16138297537875135
ry/simple,ry,simple,1000,16,1.0,0.1590537432662947
ry/simple,ry,simple,1000,17,1.0,0.15800276597761612
ry/simple,ry,simple,1000,18,1.0,0.1641838257211288
ry/simple,ry,simple,1000,19,1.0,0.1576685159708545
ry/simple,ry,simple,1000,20,1.0,0.16148393360927712
