model,encoding,ansatz,shots,repeats,test_accuracy_mean,test_accuracy_std,test_loss_mean,test_loss_std
h_rz/simple,h_rz,simple,exact,1,0.84,0.0,0.5618518128826687,0.0
h_rz/simple,h_rz,simple,100,30,0.808,0.03546732347503484,0.5674491577336664,0.026176609390531364
h_rz/simple,h_rz,simple,1000,30,0.84,0.0,0.563494313740251,0.006816362431057876
h_rz/simple,h_rz,simple,10000,30,0.84,0.0,0.5615674502176867,0.0020599802814120862
ry/simple,ry,simple,exact,1,1.0,0.0,0.1598892975456578,0.0
ry/simple,ry,simple,100,30,0.992,0.016273524086899464,0.16193277729640632,0.007529855112309775
ry/simple,ry,simple,1000,30,1.0,0.0,0.15956877463869343,0.0030825693995015285
ry/simple,ry,simple,10000,30,1.0,0.0,0.15969978435443957,0.0008648501347145064
ry_rz/strong,ry_rz,strong,exact,1,1.0,0.0,0.311439526303642,0.0
ry_rz/strong,ry_rz,strong,100,30,0.9853333333333333,0.019605300714142456,0.3158656095647804,0.01404382054998547
ry_rz/strong,ry_rz,strong,1000,30,1.0,0.0,0.3126640773976839,0.0035917063267435056
ry_rz/strong,ry_rz,strong,10000,30,1.0,0.0,0.3116845396691207,0.001413071199915081
